name,link,year_from,year_to,college,first,last,nbaID,bbrID
Dana Barros,/players/b/barroda01.html,1990,2004,Boston College,Barros,Dana,344,barroda01
Brent Barry,/players/b/barrybr01.html,1996,2009,Oregon State University,Barry,Brent,699,barrybr01
Drew Barry,/players/b/barrydr01.html,1998,2000,Georgia Institute of Technology,Barry,Drew,1003,barrydr01
Jon Barry,/players/b/barryjo01.html,1993,2006,Georgia Institute of Technology,Barry,Jon,468,barryjo01
Rick Barry,/players/b/barryri01.html,1966,1980,University of Miami,Barry,Rick,600013,barryri01
Will Barton,/players/b/bartowi01.html,2013,2017,University of Memphis,Barton,Will,203115,bartowi01
Eddie Basden,/players/b/basdeed01.html,2006,2006,University of North Carolina at Charlotte,Basden,Eddie,101188,basdeed01
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,Bass,Brandon,101138,bassbr01
Tim Bassett,/players/b/basseti01.html,1974,1980,University of Georgia,Bassett,Tim,76120,basseti01
Maceo Baston,/players/b/bastoma01.html,2003,2009,University of Michigan,Baston,Maceo,1766,bastoma01
Mengke Bateer,/players/b/bateeme01.html,2002,2004,,Bateer,Mengke,2370,bateeme01
Billy Ray Bates,/players/b/batesbi01.html,1980,1983,Kentucky State University,Bates,Billyray,76121,batesbi01
Esteban Batista,/players/b/batises01.html,2006,2007,,Batista,Esteban,101212,batises01
Mike Batiste,/players/b/batismi01.html,2003,2003,Arizona State University,Batiste,Mike,2471,batismi01
Tony Battie,/players/b/battito01.html,1998,2012,Texas Tech University,Battie,Tony,1499,battito01
Shane Battier,/players/b/battish01.html,2002,2014,Duke University,Battier,Shane,2203,battish01
John Battle,/players/b/battljo01.html,1986,1995,Rutgers University,Battle,John,174,battljo01
Kenny Battle,/players/b/battlke01.html,1990,1993,University of Illinois at Urbana-Champaign,Battle,Kenny,76123,battlke01
Dave Batton,/players/b/battoda01.html,1983,1984,University of Notre Dame,Batton,Dave,76124,battoda01
Nicolas Batum,/players/b/batumni01.html,2009,2017,,Batum,Nicolas,201587,batumni01
Lonny Baxter,/players/b/baxtelo01.html,2003,2006,University of Maryland,Baxter,Lonny,2437,baxtelo01
Jerryd Bayless,/players/b/bayleje01.html,2009,2017,University of Arizona,Bayless,Jerryd,201573,bayleje01
Aron Baynes,/players/b/baynear01.html,2013,2017,Washington State University,Baynes,Aron,203382,baynear01
Sergei Bazarevich,/players/b/bazarse01.html,1995,1995,,Bazarevich,Sergei,76128,bazarse01
Kent Bazemore,/players/b/bazemke01.html,2013,2017,Old Dominion University,Bazemore,Kent,203145,bazemke01
Bradley Beal,/players/b/bealbr01.html,2013,2017,University of Florida,Beal,Bradley,203078,bealbr01
Butch Beard,/players/b/beardbu01.html,1970,1979,University of Louisville,Beard,Butch,76130,beardbu01
Jerome Beasley,/players/b/beaslje01.html,2004,2004,University of North Dakota,Beasley,Jerome,2602,beaslje01
Malik Beasley,/players/b/beaslma01.html,2017,2017,Florida State University,Beasley,Malik,1627736,beaslma01
Michael Beasley,/players/b/beaslmi01.html,2009,2017,Kansas State University,Beasley,Michael,201563,beaslmi01
Rodrigue Beaubois,/players/b/beaubro01.html,2010,2013,,Beaubois,Rodrigue,201958,beaubro01
Byron Beck,/players/b/beckby01.html,1968,1977,University of Denver,Beck,Byron,76134,beckby01
Corey Beck,/players/b/beckco01.html,1996,1999,University of Arkansas,Beck,Corey,1133,beckco01
William Bedford,/players/b/bedfowi01.html,1987,1993,University of Memphis,Bedford,William,76138,bedfowi01
Ron Behagen,/players/b/behagro01.html,1974,1980,University of Minnesota,Behagen,Ron,76140,behagro01
Marco Belinelli,/players/b/belinma01.html,2008,2017,,Belinelli,Marco,201158,belinma01
Charlie Bell,/players/b/bellch01.html,2002,2011,Michigan State University,Bell,Charlie,2294,bellch01
Raja Bell,/players/b/bellra01.html,2001,2012,Florida International University,Bell,Raja,1952,bellra01
Troy Bell,/players/b/belltr01.html,2004,2004,Boston College,Bell,Troy,2559,belltr01
DeAndre' Bembry,/players/b/bembrde01.html,2017,2017,Saint Joseph's University,Bembry,DeAndre',1627761,bembrde01
Dragan Bender,/players/b/bendedr01.html,2017,2017,,Bender,Dragan,1627733,bendedr01
Jonathan Bender,/players/b/bendejo01.html,2000,2010,,Bender,Jonathan,1886,bendejo01
Jerrelle Benimon,/players/b/benimje01.html,2015,2015,Towson University,Benimon,Jerrelle,203968,benimje01
Benoit Benjamin,/players/b/benjabe01.html,1986,2000,Creighton University,Benjamin,Benoit,104,benjabe01
Corey Benjamin,/players/b/benjaco01.html,1999,2003,Oregon State University,Benjamin,Corey,1736,benjaco01
Anthony Bennett,/players/b/bennean01.html,2014,2017,"University of Nevada, Las Vegas",Bennett,Anthony,203461,bennean01
Elmer Bennett,/players/b/benneel01.html,1995,1997,University of Notre Dame,Bennett,Elmer,1120,benneel01
Mario Bennett,/players/b/bennema01.html,1996,2000,Arizona State University,Bennett,Mario,712,bennema01
Mel Bennett,/players/b/benneme01.html,1976,1982,University of Pittsburgh,Bennett,Mel,76151,benneme01
Tony Bennett,/players/b/benneto01.html,1993,1995,University of Wisconsin-Green Bay,Bennett,Tony,76148,benneto01
Winston Bennett,/players/b/bennewi01.html,1990,1992,University of Kentucky,Bennett,Winston,76152,bennewi01
David Benoit,/players/b/benoida01.html,1992,2001,University of Alabama,Benoit,David,128,benoida01
Keith Benson,/players/b/bensoke02.html,2012,2012,Oakland University,Benson,Keith,202728,bensoke02
Kent Benson,/players/b/bensoke01.html,1978,1988,Indiana University,Benson,Kent,76154,bensoke01
Ben Bentil,/players/b/bentibe01.html,2017,2017,Providence College,Bentil,Ben,1627791,bentibe01
Ricky Berry,/players/b/berryri01.html,1989,1989,San Jose State University,Berry,Ricky,76157,berryri01
Walter Berry,/players/b/berrywa01.html,1987,1989,St. John's University,Berry,Walter,76158,berrywa01
Davis Bertans,/players/b/bertada01.html,2017,2017,,Bertans,Davis,202722,bertada01
Del Beshore,/players/b/beshode01.html,1979,1980,California University of Pennslyvania,Beshore,Del,76159,beshode01
Travis Best,/players/b/besttr01.html,1996,2005,Georgia Institute of Technology,Best,Travis,696,besttr01
Patrick Beverley,/players/b/beverpa01.html,2013,2017,University of Arkansas,Beverley,Patrick,201976,beverpa01
Sim Bhullar,/players/b/bhullsi01.html,2015,2015,New Mexico State University,Bhullar,Sim,204021,bhullsi01
Henry Bibby,/players/b/bibbyhe01.html,1973,1981,"University of California, Los Angeles",Bibby,Henry,76162,bibbyhe01
Mike Bibby,/players/b/bibbymi01.html,1999,2012,University of Arizona,Bibby,Mike,1710,bibbymi01
Andris Biedrins,/players/b/biedran01.html,2005,2014,,Biedrins,Andris,2740,biedran01
Bob Bigelow,/players/b/bigelbo01.html,1976,1979,University of Pennsylvania,Bigelow,Bob,76165,bigelbo01
Chauncey Billups,/players/b/billuch01.html,1998,2014,University of Colorado,Billups,Chauncey,1497,billuch01
Dave Bing,/players/b/bingda01.html,1967,1978,Syracuse University,Bing,Dave,76166,bingda01
Joe Binion,/players/b/biniojo01.html,1987,1987,North Carolina Agricultural and Technical State University,Binion,Joe,76167,biniojo01
Larry Bird,/players/b/birdla01.html,1980,1992,Indiana State University,Bird,Larry,1449,birdla01
Otis Birdsong,/players/b/birdsot01.html,1978,1989,University of Houston,Birdsong,Otis,76170,birdsot01
Bismack Biyombo,/players/b/biyombi01.html,2012,2017,,Biyombo,Bismack,202687,biyombi01
Nemanja Bjelica,/players/b/bjeline01.html,2016,2017,,Bjelica,Nemanja,202357,bjeline01
Uwe Blab,/players/b/blabuw01.html,1986,1990,Indiana University,Blab,Uwe,76172,blabuw01
Norman Black,/players/b/blackno01.html,1981,1981,Saint Joseph's University,Black,Norman,76174,blackno01
Tarik Black,/players/b/blackta01.html,2015,2017,University of Kansas,Black,Tarik,204028,blackta01
Rolando Blackman,/players/b/blackro01.html,1982,1994,Kansas State University,Blackman,Rolando,76176,blackro01
Alex Blackwell,/players/b/blackal01.html,1993,1993,Monmouth University,Blackwell,Alex,76180,blackal01
Cory Blackwell,/players/b/blackco01.html,1985,1985,University of Wisconsin,Blackwell,Cory,76177,blackco01
James Blackwell,/players/b/blackja01.html,1995,1995,Dartmouth College,Blackwell,James,1806,blackja01
Nate Blackwell,/players/b/blackna01.html,1988,1988,Temple University,Blackwell,Nate,76179,blackna01
DeJuan Blair,/players/b/blairde01.html,2010,2016,University of Pittsburgh,Blair,DeJuan,201971,blairde01
Steve Blake,/players/b/blakest01.html,2004,2016,University of Maryland,Blake,Steve,2581,blakest01
Will Blalock,/players/b/blalowi01.html,2007,2007,Iowa State University,Blalock,Will,200807,blalowi01
Lance Blanks,/players/b/blankla01.html,1991,1993,University of Texas at Austin,Blanks,Lance,76183,blankla01
Ricky Blanton,/players/b/blantri01.html,1993,1993,Louisiana State University,Blanton,Ricky,76184,blantri01
Andray Blatche,/players/b/blatcan01.html,2006,2014,,Blatche,Andray,101154,blatcan01
Mookie Blaylock,/players/b/blaylmo01.html,1990,2002,University of Oklahoma,Blaylock,Mookie,302,blaylmo01
Eric Bledsoe,/players/b/bledser01.html,2011,2017,University of Kentucky,Bledsoe,Eric,202339,bledser01
Corie Blount,/players/b/blounco01.html,1994,2004,University of Cincinnati,Blount,Corie,916,blounco01
