name,link,year_from,year_to,college,first,last,nbaID,bbrID
Alex Stivrins,/players/s/stivral01.html,1986,1993,University of Colorado,Stivrins,Alex,78261,stivral01
David Stockton,/players/s/stockda01.html,2015,2015,Gonzaga University,Stockton,David,204065,stockda01
John Stockton,/players/s/stockjo01.html,1985,2003,Gonzaga University,Stockton,John,304,stockjo01
Peja Stojakovic,/players/s/stojape01.html,1999,2011,,Stojakovic,Peja,978,stojape01
Ed Stokes,/players/s/stokeed01.html,1998,1998,University of Arizona,Stokes,Ed,1055,stokeed01
Greg Stokes,/players/s/stokegr01.html,1986,1990,University of Iowa,Stokes,Greg,78264,stokegr01
Jarnell Stokes,/players/s/stokeja01.html,2015,2017,University of Tennessee,Stokes,Jarnell,203950,stokeja01
Diamond Stone,/players/s/stonedi01.html,2017,2017,University of Maryland,Stone,Diamond,1627754,stonedi01
Julyan Stone,/players/s/stoneju01.html,2012,2014,University of Texas at El Paso,Stone,Julyan,202933,stoneju01
Awvee Storey,/players/s/storeaw01.html,2005,2008,Arizona State University,Storey,Awvee,2852,storeaw01
Damon Stoudamire,/players/s/stoudda01.html,1996,2008,University of Arizona,Stoudamire,Damon,757,stoudda01
Salim Stoudamire,/players/s/stoudsa01.html,2006,2008,University of Arizona,Stoudamire,Salim,101136,stoudsa01
Amar'e Stoudemire,/players/s/stoudam01.html,2003,2016,,Stoudemire,Amar'e,2405,stoudam01
D.J. Strawberry,/players/s/strawdj01.html,2008,2008,University of Maryland,Strawberry,DJ,201199,strawdj01
Erick Strickland,/players/s/stricer01.html,1997,2005,University of Nebraska,Strickland,Erick,1065,stricer01
Mark Strickland,/players/s/stricma01.html,1995,2003,Temple University,Strickland,Mark,1110,stricma01
Rod Strickland,/players/s/stricro02.html,1989,2005,DePaul University,Strickland,Rod,393,stricro02
John Stroeder,/players/s/stroejo01.html,1988,1989,University of Montana,Stroeder,John,78271,stroejo01
Derek Strong,/players/s/stronde01.html,1992,2001,Xavier University,Strong,Derek,400,stronde01
Lamont Strothers,/players/s/strotla01.html,1992,1993,Christopher Newport University,Strothers,Lamont,78273,strotla01
John Stroud,/players/s/stroujo01.html,1981,1981,University of Mississippi,Stroud,John,78274,stroujo01
Rodney Stuckey,/players/s/stuckro01.html,2008,2017,Eastern Washington University,Stuckey,Rodney,201155,stuckro01
Jared Sullinger,/players/s/sullija01.html,2013,2017,Ohio State University,Sullinger,Jared,203096,sullija01
DaJuan Summers,/players/s/summeda01.html,2010,2013,Georgetown University,Summers,DaJuan,201969,summeda01
Barry Sumpter,/players/s/sumptba01.html,1989,1989,Austin Peay State University,Sumpter,Barry,78654,sumptba01
Bruno Sundov,/players/s/sundobr01.html,1999,2005,,Sundov,Bruno,1743,sundobr01
Jon Sundvold,/players/s/sundvjo01.html,1984,1992,University of Missouri,Sundvold,Jon,78279,sundvjo01
Bob Sura,/players/s/surabo01.html,1996,2005,Florida State University,Sura,Bob,682,surabo01
Dane Suttle,/players/s/suttlda01.html,1984,1985,Pepperdine University,Suttle,Dane,78281,suttlda01
Greg Sutton,/players/s/suttogr01.html,1992,1996,Oral Roberts University,Sutton,Greg,357,suttogr01
Mike Sweetney,/players/s/sweetmi01.html,2004,2007,Georgetown University,,,,sweetmi01
Robert Swift,/players/s/swiftro01.html,2005,2009,,Swift,Robert,2741,swiftro01
Stromile Swift,/players/s/swiftst01.html,2001,2009,Louisiana State University,Swift,Stromile,2031,swiftst01
Aaron Swinson,/players/s/swinsaa01.html,1995,1995,Auburn University,Swinson,Aaron,78286,swinsaa01
Pape Sy,/players/s/sypa01.html,2011,2011,,Sy,Pape,202377,sypa01
Larry Sykes,/players/s/sykesla01.html,1996,1996,Xavier University,Sykes,Larry,1132,sykesla01
Brett Szabo,/players/s/szabobr01.html,1997,1997,Augustana College (SD),Szabo,Brett,1136,szabobr01
Wally Szczerbiak,/players/s/szczewa02.html,2000,2009,Miami University,Szczerbiak,Wally,1887,szczewa02
Zan Tabak,/players/t/tabakza01.html,1995,2001,,Tabak,Zan,440,tabakza01
Yuta Tabuse,/players/t/tabusyu01.html,2005,2005,Brigham Young University Hawaii,Tabuse,Yuta,2657,tabusyu01
Chris Taft,/players/t/taftch01.html,2006,2006,University of Pittsburgh,Taft,Chris,101147,taftch01
Dragan Tarlac,/players/t/tarladr01.html,2001,2001,,Tarlac,Dragan,1434,tarladr01
Roy Tarpley,/players/t/tarplro01.html,1987,1995,University of Michigan,Tarpley,Roy,78293,tarplro01
Earl Tatum,/players/t/tatumea01.html,1977,1980,Marquette University,Tatum,Earl,78294,tatumea01
Edy Tavares,/players/t/tavarwa01.html,2016,2017,,Tavares,Edy,204002,tavarwa01
Anthony Taylor,/players/t/tayloan01.html,1989,1989,University of Oregon,Taylor,Anthony,78295,tayloan01
Brian Taylor,/players/t/taylobr01.html,1973,1982,Princeton University,Taylor,Brian,78296,taylobr01
Donell Taylor,/players/t/taylodo01.html,2006,2007,University of Alabama at Birmingham,Taylor,Donell,101182,taylodo01
Fatty Taylor,/players/t/taylofa01.html,1970,1977,La Salle University,,,,taylofa01
Isaiah Taylor,/players/t/taylois01.html,2017,2017,University of Texas at Austin,Taylor,Isaiah,1627819,taylois01
Jay Taylor,/players/t/tayloja01.html,1990,1990,Eastern Illinois University,Taylor,Jay,78297,tayloja01
Jeff Taylor,/players/t/tayloje01.html,1983,1987,Texas Tech University,Taylor,Jeff,78299,tayloje01
Jeffery Taylor,/players/t/tayloje03.html,2013,2015,Vanderbilt University,Taylor,Jeffery,203106,tayloje03
Jermaine Taylor,/players/t/tayloje02.html,2010,2011,University of Central Florida,Taylor,Jermaine,201966,tayloje02
Johnny Taylor,/players/t/taylojo01.html,1998,2000,University of Tennessee at Chattanooga,Taylor,Johnny,1511,taylojo01
Leonard Taylor,/players/t/taylole01.html,1990,1990,University of California,Taylor,Leonard,78301,taylole01
Maurice Taylor,/players/t/tayloma01.html,1998,2007,University of Michigan,Taylor,Maurice,1508,tayloma01
Mike Taylor,/players/t/taylomi01.html,2009,2009,Iowa State University,Taylor,Mike,201446,taylomi01
Tyshawn Taylor,/players/t/tayloty01.html,2013,2014,University of Kansas,Taylor,Tyshawn,203116,tayloty01
Vince Taylor,/players/t/taylovi01.html,1983,1983,Duke University,Taylor,Vince,78303,taylovi01
Terry Teagle,/players/t/teaglte01.html,1983,1993,Baylor University,Teagle,Terry,78304,teaglte01
Jeff Teague,/players/t/teaguje01.html,2010,2017,Wake Forest University,Teague,Jeff,201952,teaguje01
Marquis Teague,/players/t/teaguma01.html,2013,2014,University of Kentucky,Teague,Marquis,203104,teaguma01
Mirza Teletovic,/players/t/teletmi01.html,2013,2017,,Teletovic,Mirza,203141,teletmi01
Sebastian Telfair,/players/t/telfase01.html,2005,2015,,Telfair,Sebastian,2742,telfase01
Garrett Temple,/players/t/templga01.html,2010,2017,Louisiana State University,Temple,Garrett,202066,templga01
Ira Terrell,/players/t/terreir01.html,1977,1979,Southern Methodist University,Terrell,Ira,78305,terreir01
Carlos Terry,/players/t/terryca01.html,1981,1983,Winston-Salem State University,Terry,Carlos,78307,terryca01
Chuck Terry,/players/t/terrych01.html,1973,1977,"California State University, Long Beach",Terry,Chuck,78306,terrych01
Claude Terry,/players/t/terrycl01.html,1973,1978,Stanford University,Terry,Claude,78308,terrycl01
Jason Terry,/players/t/terryja01.html,2000,2017,University of Arizona,Terry,Jason,1891,terryja01
Hasheem Thabeet,/players/t/thabeha01.html,2010,2014,University of Connecticut,Thabeet,Hasheem,201934,thabeha01
Reggie Theus,/players/t/theusre01.html,1979,1991,"University of Nevada, Las Vegas",Theus,Reggie,78310,theusre01
Peter Thibeaux,/players/t/thibepe01.html,1985,1986,Saint Mary's College of California,Thibeaux,Peter,78311,thibepe01
David Thirdkill,/players/t/thirdda01.html,1983,1987,Bradley University,Thirdkill,David,78314,thirdda01
Adonis Thomas,/players/t/thomaad01.html,2014,2014,University of Memphis,Thomas,Adonis,203519,thomaad01
Billy Thomas,/players/t/thomabi01.html,2005,2008,University of Kansas,Thomas,Billy,2873,thomabi01
Carl Thomas,/players/t/thomaca01.html,1992,1998,Eastern Michigan University,Thomas,Carl,1063,thomaca01
Charles Thomas,/players/t/thomach01.html,1992,1992,Eastern Michigan University,Thomas,Charles,78316,thomach01
Etan Thomas,/players/t/thomaet01.html,2002,2011,Syracuse University,Thomas,Etan,2041,thomaet01
Irving Thomas,/players/t/thomair01.html,1991,1991,Florida State University,Thomas,Irving,78317,thomair01
Isaiah Thomas,/players/t/thomais02.html,2012,2017,University of Washington,Thomas,Isaiah,202738,thomais02
Isiah Thomas,/players/t/thomais01.html,1982,1994,Indiana University,Thomas,Isiah,78318,thomais01
Jamel Thomas,/players/t/thomaja01.html,2000,2001,Providence College,Thomas,Jamel,1975,thomaja01
James Thomas,/players/t/thomaja02.html,2005,2006,University of Texas at Austin,Thomas,James,2839,thomaja02
Jim Thomas,/players/t/thomaji01.html,1984,1991,Indiana University,Thomas,Jim,78320,thomaji01
John Thomas,/players/t/thomajo02.html,1998,2006,University of Minnesota,Thomas,John,1519,thomajo02
Kenny Thomas,/players/t/thomake01.html,2000,2010,University of New Mexico,Thomas,Kenny,1903,thomake01
Kurt Thomas,/players/t/thomaku01.html,1996,2013,Texas Christian University,Thomas,Kurt,703,thomaku01
Lance Thomas,/players/t/thomala01.html,2012,2017,Duke University,Thomas,Lance,202498,thomala01
Malcolm Thomas,/players/t/thomama01.html,2012,2015,San Diego State University,Thomas,Malcolm,202952,thomama01
Tim Thomas,/players/t/thomati01.html,1998,2010,Villanova University,Thomas,Tim,1501,thomati01
Tyrus Thomas,/players/t/thomaty01.html,2007,2015,Louisiana State University,Thomas,Tyrus,200748,thomaty01
Trey Thompkins,/players/t/thomptr02.html,2012,2012,University of Georgia,Thompkins,Trey,202717,thomptr02
Bernard Thompson,/players/t/thompbe01.html,1985,1989,"California State University, Fresno",Thompson,Bernard,78323,thompbe01
Billy Thompson,/players/t/thompbi01.html,1987,1992,University of Louisville,Thompson,Billy,1631,thompbi01
Brooks Thompson,/players/t/thompbr01.html,1995,1998,Oklahoma State University,Thompson,Brooks,240,thompbr01
Corny Thompson,/players/t/thompco01.html,1983,1983,University of Connecticut,Thompson,Corny,78325,thompco01
David Thompson,/players/t/thompda01.html,1976,1984,North Carolina State University,Thompson,David,78326,thompda01
Dijon Thompson,/players/t/thompdi01.html,2006,2007,"University of California, Los Angeles",Thompson,Dijon,101159,thompdi01
Hollis Thompson,/players/t/thompho01.html,2014,2017,Georgetown University,Thompson,Hollis,203138,thompho01
Jason Thompson,/players/t/thompja02.html,2009,2016,Rider University,Thompson,Jason,201574,thompja02
Kevin Thompson,/players/t/thompke01.html,1994,1994,North Carolina State University,Thompson,Kevin,78329,thompke01
Klay Thompson,/players/t/thompkl01.html,2012,2017,Washington State University,Thompson,Klay,202691,thompkl01
LaSalle Thompson,/players/t/thompla01.html,1983,1997,University of Texas at Austin,Thompson,LaSalle,78,thompla01
Mychal Thompson,/players/t/thompmy01.html,1979,1991,University of Minnesota,Thompson,Mychal,78331,thompmy01
Mychel Thompson,/players/t/thompmy02.html,2012,2012,Pepperdine University,Thompson,Mychel,202814,thompmy02
Paul Thompson,/players/t/thomppa01.html,1984,1986,Tulane University,Thompson,Paul,78332,thomppa01
Stephen Thompson,/players/t/thompst01.html,1992,1992,Syracuse University,Thompson,Stephen,78333,thompst01
Tristan Thompson,/players/t/thomptr01.html,2012,2017,University of Texas at Austin,Thompson,Tristan,202684,thomptr01
Al Thornton,/players/t/thornal01.html,2008,2011,Florida State University,Thornton,Al,201154,thornal01
Bob Thornton,/players/t/thornbo01.html,1986,1996,"University of California, Irvine",Thornton,Bob,738,thornbo01
Marcus Thornton,/players/t/thornma01.html,2010,2017,Louisiana State University,Thornton,Marcus,201977,thornma01
Otis Thorpe,/players/t/thorpot01.html,1985,2001,Providence College,Thorpe,Otis,901,thorpot01
Sedale Threatt,/players/t/threase01.html,1984,1997,West Virginia University Institute of Technology,Threatt,Sedale,9,threase01
Nate Thurmond,/players/t/thurmna01.html,1964,1977,Bowling Green State University,Thurmond,Nate,600001,thurmna01
Darren Tillis,/players/t/tillida01.html,1983,1984,Cleveland State University,Tillis,Darren,78343,tillida01
Jamaal Tinsley,/players/t/tinslja01.html,2002,2014,Iowa State University,Tinsley,Jamaal,2224,tinslja01
Wayman Tisdale,/players/t/tisdawa01.html,1986,1997,University of Oklahoma,Tisdale,Wayman,47,tisdawa01
Mike Tobey,/players/t/tobeymi01.html,2017,2017,University of Virginia,Tobey,Mike,1627861,tobeymi01
Ray Tolbert,/players/t/tolbera01.html,1982,1989,Indiana University,Tolbert,Ray,78348,tolbera01
Tom Tolbert,/players/t/tolbeto01.html,1989,1995,University of Arizona,Tolbert,Tom,78347,tolbeto01
Anthony Tolliver,/players/t/tollian01.html,2009,2017,Creighton University,Tolliver,Anthony,201229,tollian01
Dean Tolson,/players/t/tolsode01.html,1975,1978,University of Arkansas,Tolson,Dean,78349,tolsode01
Rudy Tomjanovich,/players/t/tomjaru01.html,1971,1981,University of Michigan,Tomjanovich,Rudy,78350,tomjaru01
Andrew Toney,/players/t/toneyan01.html,1981,1988,University of Louisiana at Lafayette,Toney,Andrew,78351,toneyan01
Sedric Toney,/players/t/toneyse01.html,1986,1994,University of Dayton,Toney,Sedric,78352,toneyse01
Andy Toolson,/players/t/toolsan01.html,1991,1996,Brigham Young University,Toolson,Andy,342,toolsan01
Bernard Toone,/players/t/toonebe01.html,1980,1980,Marquette University,Toone,Bernard,78356,toonebe01
Oscar Torres,/players/t/torreos01.html,2002,2003,,Torres,Oscar,2351,torreos01
Axel Toupane,/players/t/toupaax01.html,2016,2017,,Toupane,Axel,1626253,toupaax01
Monte Towe,/players/t/towemo01.html,1976,1977,North Carolina State University,Towe,Monte,78361,towemo01
Keith Tower,/players/t/towerke01.html,1994,1997,University of Notre Dame,Tower,Keith,700,towerke01
Linton Townes,/players/t/towneli01.html,1983,1985,James Madison University,Townes,Linton,78364,towneli01
Karl-Anthony Towns,/players/t/townska01.html,2016,2017,University of Kentucky,Towns,Karl-Anthony,1626157,townska01
Raymond Townsend,/players/t/townsra01.html,1979,1982,"University of California, Los Angeles",Townsend,Raymond,78365,townsra01
George Trapp,/players/t/trappge01.html,1972,1977,"California State University, Long Beach",Trapp,George,78366,trappge01
Robert Traylor,/players/t/traylro01.html,1999,2005,University of Michigan,Traylor,Robert,1714,traylro01
Gary Trent,/players/t/trentga01.html,1996,2004,Ohio University,Trent,Gary,718,trentga01
Jeff Trepagnier,/players/t/trepaje01.html,2002,2004,University of Southern California,Trepagnier,Jeff,2244,trepaje01
Kelly Tripucka,/players/t/tripuke01.html,1982,1991,University of Notre Dame,Tripucka,Kelly,78369,tripuke01
Cezary Trybanski,/players/t/trybace01.html,2003,2004,,Trybanski,Cezary,2456,trybace01
Jake Tsakalidis,/players/t/tsakaja01.html,2001,2007,,Tsakalidis,Jake,2054,tsakaja01
Nikoloz Tskitishvili,/players/t/tskitni01.html,2003,2006,,Tskitishvili,Nikoloz,2401,tskitni01
Alando Tucker,/players/t/tuckeal02.html,2008,2010,University of Wisconsin,Tucker,Alando,201169,tuckeal02
Anthony Tucker,/players/t/tuckean01.html,1995,1995,Wake Forest University,Tucker,Anthony,141,tuckean01
P.J. Tucker,/players/t/tuckepj01.html,2007,2017,University of Texas at Austin,Tucker,PJ,200782,tuckepj01
Trent Tucker,/players/t/tucketr01.html,1983,1993,University of Minnesota,Tucker,Trent,78375,tucketr01
Ronny Turiaf,/players/t/turiaro01.html,2006,2015,Gonzaga University,Turiaf,Ronny,101142,turiaro01
Mirsad Turkcan,/players/t/turkcmi01.html,2000,2000,,Turkcan,Mirsad,1726,turkcmi01
Hedo Turkoglu,/players/t/turkohe01.html,2001,2015,,Turkoglu,Hedo,2045,turkohe01
Andre Turner,/players/t/turnean01.html,1987,1992,University of Memphis,Turner,Andre,78377,turnean01
Elston Turner,/players/t/turneel01.html,1982,1989,University of Mississippi,Turner,Elston,78378,turneel01
Evan Turner,/players/t/turneev01.html,2011,2017,Ohio State University,Turner,Evan,202323,turneev01
Henry Turner,/players/t/turnehe02.html,1990,1995,"California State University, Fullerton",Turner,Henry,78379,turnehe02
Jeff Turner,/players/t/turneje01.html,1985,1996,Vanderbilt University,Turner,Jeff,78381,turneje01
John Turner,/players/t/turnejo01.html,1992,1992,Phillips University,Turner,John,1819,turnejo01
Myles Turner,/players/t/turnemy01.html,2016,2017,University of Texas at Austin,Turner,Myles,1626167,turnemy01
Wayne Turner,/players/t/turnewa01.html,2000,2000,University of Kentucky,Turner,Wayne,1943,turnewa01
Melvin Turpin,/players/t/turpime01.html,1985,1990,University of Kentucky,,,,turpime01
Dave Twardzik,/players/t/twardda01.html,1973,1980,Old Dominion University,Twardzik,Dave,78387,twardda01
B.J. Tyler,/players/t/tylerbj01.html,1995,1995,University of Texas at Austin,Tyler,B.J.,189,tylerbj01
Jeremy Tyler,/players/t/tylerje01.html,2012,2014,,Tyler,Jeremy,202719,tylerje01
Terry Tyler,/players/t/tylerte01.html,1979,1989,University of Detroit Mercy,Tyler,Terry,78390,tylerte01
Edwin Ubiles,/players/u/ubileed01.html,2012,2012,Siena College,Ubiles,Edwin,202775,ubileed01
Ekpe Udoh,/players/u/udohek01.html,2011,2015,Baylor University,Udoh,Ekpe,202327,udohek01
Ime Udoka,/players/u/udokaim01.html,2004,2011,Portland State University,Udoka,Ime,2137,udokaim01
Beno Udrih,/players/u/udrihbe01.html,2005,2017,,Udrih,Beno,2757,udrihbe01
Roko Ukic,/players/u/ukicro01.html,2009,2010,,Ukic,Roko,101146,ukicro01
Tyler Ulis,/players/u/ulisty01.html,2017,2017,University of Kentucky,Ulis,Tyler,1627755,ulisty01
Wes Unseld,/players/u/unselwe01.html,1969,1981,University of Louisville,Unseld,Wes,78392,unselwe01
Kelvin Upshaw,/players/u/upshake01.html,1989,1991,University of Utah,Upshaw,Kelvin,78394,upshake01
Jarrod Uthoff,/players/u/uthofja01.html,2017,2017,University of Iowa,Uthoff,Jarrod,1627784,uthofja01
Ben Uzoh,/players/u/uzohbe01.html,2011,2012,University of Tulsa,Uzoh,Ben,202386,uzohbe01
Jonas Valanciunas,/players/v/valanjo01.html,2013,2017,,Valanciunas,Jonas,202685,valanjo01
Darnell Valentine,/players/v/valenda01.html,1982,1991,University of Kansas,Valentine,Darnell,78395,valenda01
Denzel Valentine,/players/v/valende01.html,2017,2017,Michigan State University,Valentine,Denzel,1627756,valende01
Ronnie Valentine,/players/v/valenro01.html,1981,1981,Old Dominion University,,,,valenro01
Dick Van Arsdale,/players/v/vanardi01.html,1966,1977,Indiana University,Van Arsdale,Dick,78398,vanardi01
Tom Van Arsdale,/players/v/vanarto01.html,1966,1977,Indiana University,Van Arsdale,Tom,78399,vanarto01
Jan Van Breda Kolff,/players/v/vanbrja01.html,1975,1983,Vanderbilt University,Van Breda Kolff,Jan,78400,vanbrja01
Nick Van Exel,/players/v/vanexni01.html,1994,2006,University of Cincinnati,Van Exel,Nick,89,vanexni01
Keith Van Horn,/players/v/vanhoke01.html,1998,2006,University of Utah,Van Horn,Keith,1496,vanhoke01
Norm Van Lier,/players/v/vanlino01.html,1970,1979,Saint Francis University,Van Lier,Norm,78406,vanlino01
Logan Vander Velden,/players/v/vandelo01.html,1996,1996,University of Wisconsin-Green Bay,,,,vandelo01
Kiki Vandeweghe,/players/v/vandeki01.html,1981,1993,"University of California, Los Angeles",Vandeweghe,Kiki,78404,vandeki01
Nick Vanos,/players/v/vanosni01.html,1986,1987,Santa Clara University,Vanos,Nick,78407,vanosni01
David Vanterpool,/players/v/vanteda01.html,2001,2001,St. Bonaventure University,Vanterpool,David,2128,vanteda01
Fred VanVleet,/players/v/vanvlfr01.html,2017,2017,Wichita State University,VanVleet,Fred,1627832,vanvlfr01
Ratko Varda,/players/v/vardara01.html,2002,2002,,Varda,Ratko,2237,vardara01
Anderson Varejao,/players/v/varejan01.html,2005,2017,,Varejao,Anderson,2760,varejan01
Jarvis Varnado,/players/v/varnaja01.html,2013,2014,Mississippi State University,Varnado,Jarvis,202363,varnaja01
Greivis Vasquez,/players/v/vasqugr01.html,2011,2017,University of Maryland,Vasquez,Greivis,202349,vasqugr01
David Vaughn,/players/v/vaughda02.html,1996,1999,University of Memphis,Vaughn,David,710,vaughda02
Jacque Vaughn,/players/v/vaughja01.html,1998,2009,University of Kansas,Vaughn,Jacque,1521,vaughja01
Rashad Vaughn,/players/v/vaughra01.html,2016,2017,"University of Nevada, Las Vegas",Vaughn,Rashad,1626173,vaughra01
Loy Vaught,/players/v/vaughlo01.html,1991,2001,University of Michigan,Vaught,Loy,919,vaughlo01
Pete Verhoeven,/players/v/verhope01.html,1982,1987,"California State University, Fresno",,,,verhope01
Jan Vesely,/players/v/veselja01.html,2012,2014,,Vesely,Jan,202686,veselja01
Gundars Vetra,/players/v/vetragu01.html,1993,1993,,Vetra,Gundars,78415,vetragu01
Joao Vianna,/players/v/viannjo01.html,1992,1992,,Vianna,Joao,78416,viannjo01
Charlie Villanueva,/players/v/villach01.html,2006,2016,University of Connecticut,Villanueva,Charlie,101111,villach01
Jay Vincent,/players/v/vinceja01.html,1982,1990,Michigan State University,Vincent,Jay,78418,vinceja01
Sam Vincent,/players/v/vincesa01.html,1986,1992,Michigan State University,Vincent,Sam,78417,vincesa01
Marcus Vinicius,/players/v/vincima01.html,2007,2008,,Vinicius,Marcus,200790,vincima01
Fred Vinson,/players/v/vinsofr01.html,1995,2000,Georgia Institute of Technology,Vinson,Fred,1844,vinsofr01
Gary Voce,/players/v/vocega01.html,1990,1990,University of Notre Dame,Voce,Gary,78419,vocega01
Alexander Volkov,/players/v/volkoal01.html,1990,1992,,Volkov,Alexander,78421,volkoal01
Noah Vonleh,/players/v/vonleno01.html,2015,2017,Indiana University,Vonleh,Noah,203943,vonleno01
Jake Voskuhl,/players/v/voskuja01.html,2001,2009,University of Connecticut,Voskuhl,Jake,2063,voskuja01
Danny Vranes,/players/v/vraneda01.html,1982,1988,University of Utah,Vranes,Danny,78423,vraneda01
Slavko Vranes,/players/v/vranesl01.html,2004,2004,,Vranes,Slavko,2582,vranesl01
Stojko Vrankovic,/players/v/vrankst01.html,1991,1999,,Vrankovic,Stojko,1037,vrankst01
Brett Vroman,/players/v/vromabr01.html,1981,1981,"University of Nevada, Las Vegas",Vroman,Brett,78425,vromabr01
Jackson Vroman,/players/v/vromaja01.html,2005,2006,Iowa State University,Vroman,Jackson,2761,vromaja01
Nikola Vucevic,/players/v/vucevni01.html,2012,2017,University of Southern California,Vucevic,Nikola,202696,vucevni01
Sasha Vujacic,/players/v/vujacsa01.html,2005,2017,,Vujacic,Sasha,2756,vujacsa01
Dwyane Wade,/players/w/wadedw01.html,2004,2017,Marquette University,Wade,Dwyane,2548,wadedw01
Mark Wade,/players/w/wadema01.html,1988,1990,"University of Nevada, Las Vegas",Wade,Mark,78426,wadema01
Von Wafer,/players/w/wafervo01.html,2006,2012,Florida State University,Wafer,Von,101144,wafervo01
Dajuan Wagner,/players/w/wagneda02.html,2003,2007,University of Memphis,Wagner,Dajuan,2402,wagneda02
Milt Wagner,/players/w/wagnemi01.html,1988,1991,University of Louisville,Wagner,Milt,78429,wagnemi01
Dion Waiters,/players/w/waitedi01.html,2013,2017,Syracuse University,Waiters,Dion,203079,waitedi01
Granville Waiters,/players/w/waitegr01.html,1984,1988,Ohio State University,Waiters,Granville,78430,waitegr01
Andre Wakefield,/players/w/wakefan01.html,1979,1980,Loyola University of Chicago,Wakefield,Andre,78431,wakefan01
Neal Walk,/players/w/walkne01.html,1970,1977,University of Florida,Walk,Neal,78432,walkne01
Andy Walker,/players/w/walkean01.html,1977,1977,Niagara University,Walker,Andy,78433,walkean01
Antoine Walker,/players/w/walkean02.html,1997,2008,University of Kentucky,Walker,Antoine,952,walkean02
Darrell Walker,/players/w/walkeda01.html,1984,1993,University of Arkansas,Walker,Darrell,78437,walkeda01
Foots Walker,/players/w/walkefo01.html,1975,1984,State University of West Georgia,Walker,Foots,78436,walkefo01
Henry Walker,/players/w/walkebi01.html,2009,2015,Kansas State University,Walker,Henry,201611,walkebi01
Kemba Walker,/players/w/walkeke02.html,2012,2017,University of Connecticut,Walker,Kemba,202689,walkeke02
Kenny Walker,/players/w/walkeke01.html,1987,1995,University of Kentucky,Walker,Kenny,78440,walkeke01
Phil Walker,/players/w/walkeph01.html,1978,1978,Millersville University of Pennsylvania,Walker,Phil,78441,walkeph01
Samaki Walker,/players/w/walkesa01.html,1997,2006,University of Louisville,Walker,Samaki,955,walkesa01
Wally Walker,/players/w/walkewa01.html,1977,1984,University of Virginia,Walker,Wally,78442,walkewa01
John Wall,/players/w/walljo01.html,2011,2017,University of Kentucky,Wall,John,202322,walljo01
Ben Wallace,/players/w/wallabe01.html,1997,2012,Virginia Union University,Wallace,Ben,1112,wallabe01
Gerald Wallace,/players/w/wallage01.html,2002,2015,University of Alabama,Wallace,Gerald,2222,wallage01
John Wallace,/players/w/wallajo01.html,1997,2004,Syracuse University,Wallace,John,961,wallajo01
Rasheed Wallace,/players/w/wallara01.html,1996,2013,University of North Carolina,Wallace,Rasheed,739,wallara01
Jamie Waller,/players/w/walleja01.html,1988,1988,Virginia Union University,Waller,Jamie,78445,walleja01
Taurean Waller-Prince,/players/p/princta02.html,2017,2017,Baylor University,,,,princta02
Matt Walsh,/players/w/walshma01.html,2006,2006,University of Florida,Walsh,Matt,101190,walshma01
Rex Walters,/players/w/waltere01.html,1994,2000,University of Kansas,Walters,Rex,777,waltere01
Bill Walton,/players/w/waltobi01.html,1975,1987,"University of California, Los Angeles",Walton,Bill,78450,waltobi01
Lloyd Walton,/players/w/waltoll01.html,1977,1981,Marquette University,Walton,Lloyd,78449,waltoll01
Luke Walton,/players/w/waltolu01.html,2004,2013,University of Arizona,Walton,Luke,2575,waltolu01
Charlie Ward,/players/w/wardch01.html,1995,2005,Florida State University,Ward,Charlie,369,wardch01
Henry Ward,/players/w/wardhe01.html,1976,1977,Jackson State University,Ward,Henry,78456,wardhe01
Casper Ware,/players/w/wareca01.html,2014,2014,"California State University, Long Beach",Ware,Casper,203810,wareca01
Cornell Warner,/players/w/warneco01.html,1971,1977,Jackson State University,Warner,Cornell,78460,warneco01
T.J. Warren,/players/w/warretj01.html,2015,2017,North Carolina State University,Warren,TJ,203933,warretj01
Willie Warren,/players/w/warrewi01.html,2011,2011,University of Oklahoma,Warren,Willie,202378,warrewi01
Bryan Warrick,/players/w/warribr01.html,1983,1986,Saint Joseph's University,Warrick,Bryan,78462,warribr01
Hakim Warrick,/players/w/warriha01.html,2006,2013,Syracuse University,Warrick,Hakim,101124,warriha01
Chris Washburn,/players/w/washbch01.html,1987,1988,North Carolina State University,Washburn,Chris,78463,washbch01
Darius Washington,/players/w/washida01.html,2008,2008,University of Memphis,Washington,Darius,200827,washida01
Duane Washington,/players/w/washidu01.html,1988,1993,Middle Tennessee State University,Washington,Duane,78464,washidu01
Eric Washington,/players/w/washier01.html,1998,1999,University of Alabama,Washington,Eric,1540,washier01
Kermit Washington,/players/w/washike01.html,1974,1988,American University,Washington,Kermit,78467,washike01
Pearl Washington,/players/w/washipe01.html,1987,1989,Syracuse University,,,,washipe01
Richard Washington,/players/w/washiri01.html,1977,1982,"University of California, Los Angeles",Washington,Richard,78468,washiri01
Wilson Washington,/players/w/washiwi01.html,1978,1979,Old Dominion University,Washington,Wilson,78471,washiwi01
Darryl Watkins,/players/w/watkida01.html,2008,2012,Syracuse University,Watkins,Darryl,201208,watkida01
C.J. Watson,/players/w/watsocj01.html,2008,2017,University of Tennessee,Watson,C.J.,201228,watsocj01
